1 2 3 4 5
version_number initial_mass initial_z burn_min1 burn_min2
9793 1.5000000000000000E+001 2.0000000000000000E-002 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
model_number              star_age                star_mass               log_L                   log_R                   log_Teff                log_center_T             log_center_Rho          log_center_P            center_h1               center_he3 			   center_he4			   center_c12			   center_n14			   center_o16			   center_ne20			   center_mg24			   center_si28			   center_s32			   center_ar36			   center_ca40			   center_ti44			   center_cr48			   center_fe52			   center_fe54			   center_fe56			   center_ni56			    center_degeneracy 		center_ye 				center_entropy 			compactness_parameter   dynamic_timescale       kh_timescale            nuc_timescale            pp                       cno                      tri_alfa                 log_LH                   log_LHe                  log_LZ                   log_Lneu                he_core_mass c_core_mass o_core_mass si_core_mass fe_core_mass he_core_radius c_core_radius o_core_radius si_core_radius fe_core_radius max_abs_v_velocity surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
1 1.0000000000000001E-005 1.5000000000000000E+001 4.2133368140549203E+000 2.5222993119430588E+000 3.5538139657685135E+000 5.4785123010363446E+000 -5.4151681101273201E+000 8.2438798170684091E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.2744128430583462E-003 1.2623408079670273E-003 1.1735478978037877E-002 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2921653737296470E+001 8.4988121862410471E-001 3.4241531664271058E+001 3.4165145248264339E-005 1.5701346937560773E+007 9.7079142397926830E+002 9.1781350763721373E+006 -2.2503638376285405E+001 -8.1901282951919924E+001 -9.8999999999999986E+001 -2.2503638376285405E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3147645412788648E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000
2 2.2000000000000003E-005 1.5000000000000000E+001 4.2137926303584061E+000 2.5223029280738389E+000 3.5539261117789955E+000 5.4785107917363565E+000 -5.4151657949142251E+000 8.2438798130020405E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.2744128430583462E-003 1.2623408079670273E-003 1.1735478978037877E-002 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2921643312931179E+001 8.4988121862410471E-001 3.4241501060673293E+001 3.4165145231667569E-005 1.5701543043478135E+007 9.6976498396179863E+002 9.1685071646342985E+006 -2.2503638628237436E+001 -8.1901285454576282E+001 -9.8999999999999986E+001 -2.2503638628237436E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3147645664740679E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000
3 3.6400000000000004E-005 1.5000000000000000E+001 4.2142875882981041E+000 2.5223069371740432E+000 3.5540478467138175E+000 5.4785091019105181E+000 -5.4151631822347683E+000 8.2438798265781745E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.2744128430583462E-003 1.2623408079670273E-003 1.1735478978037877E-002 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2921631595188153E+001 8.4988121862410471E-001 3.4241466679686916E+001 3.4165145548831189E-005 1.5701760463332212E+007 9.6865144713065013E+002 9.1580639270784091E+006 -2.2503638814023134E+001 -8.1901287956102124E+001 -9.8999999999999986E+001 -2.2503638814023134E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3147645850526381E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000
4 5.3680000000000001E-005 1.5000000000000000E+001 4.2148103863191855E+000 2.5223112923097961E+000 3.5541763686512118E+000 5.4785072323610722E+000 -5.4151602618104233E+000 8.2438798679512502E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.2744128430583462E-003 1.2623408079670273E-003 1.1735478978037877E-002 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2921618563546833E+001 8.4988121862410471E-001 3.4241428472030115E+001 3.4165146387209391E-005 1.5701996652653763E+007 9.6747639676487199E+002 9.1470462022460438E+006 -2.2503638878666667E+001 -8.1901290276481475E+001 -9.8999999999999986E+001 -2.2503638878666667E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3147645915169910E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000
5 7.4416000000000000E-005 1.5000000000000000E+001 4.2153452018049284E+000 2.5223159304795653E+000 3.5543077534377630E+000 5.4785051916567804E+000 -5.4151570321515416E+000 8.2438799500520297E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.2744128430583462E-003 1.2623408079670273E-003 1.1735478978037877E-002 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2921604244053309E+001 8.4988121862410471E-001 3.4241386528087062E+001 3.4165147985628650E-005 1.5702248195486695E+007 9.6627540367499626E+002 9.1357889303672090E+006 -2.2503638751383683E+001 -8.1901292177140007E+001 -9.8999999999999986E+001 -2.2503638751383683E+001 -9.8999999999999986E+001 -3.8230809449325605E+001 -2.3147645787886926E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000
6 9.9299199999999986E-005 1.5000000000000000E+001 4.2158709091329207E+000 2.5223207624575510E+000 3.5544367642807675E+000 5.4785029977311899E+000 -5.4151535025005586E+000 8.2438800890397719E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.2744128430583462E-003 1.2623408079670273E-003 1.1735478978037877E-002 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2921588719208547E+001 8.4988121862410471E-001 3.4241341107407301E+001 3.4165150642831490E-005 1.5702510253447015E+007 9.6509571085600135E+002 9.1247368776033893E+006 -2.2503638342992723E+001 -8.1901293350301387E+001 -9.8999999999999986E+001 -2.2503638342992723E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3147645379495966E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000
7 1.2915903999999998E-004 1.5000000000000000E+001 4.2163592840984885E+000 2.5223256652790167E+000 3.5545564066114270E+000 5.4785006791876745E+000 -5.4151496938305490E+000 8.2438803051897640E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.2744128430583462E-003 1.2623408079670273E-003 1.1735478978037877E-002 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2921572134710905E+001 8.4988121862410471E-001 3.4241292659433924E+001 3.4165154733816128E-005 1.5702776158009632E+007 9.6400016384654259E+002 9.1144816508467719E+006 -2.2503637540722480E+001 -8.1901293397964778E+001 -9.8999999999999986E+001 -2.2503637540722480E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3147644577225726E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000
8 1.6499084799999998E-004 1.5000000000000000E+001 4.2167737587792553E+000 2.5223304797310480E+000 3.5546576180556029E+000 5.4784982758371852E+000 -5.4151456388215831E+000 8.2438806236421929E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.2744128430583462E-003 1.2623408079670273E-003 1.1735478978037877E-002 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2921554701249978E+001 8.4988121862410471E-001 3.4241241829555364E+001 3.4165160723780688E-005 1.5703037274237067E+007 9.6306992006584380E+002 9.1057872742340136E+006 -2.2503636203930380E+001 -8.1901291814322150E+001 -9.8999999999999986E+001 -2.2503636203930380E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3147643240433627E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000
9 2.0798901759999997E-004 1.5000000000000000E+001 4.2170699044629778E+000 2.5223350199400314E+000 3.5547293843720422E+000 5.4784958380912627E+000 -5.4151413806720647E+000 8.2438810746268789E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.2744128430583462E-003 1.2623408079670273E-003 1.1735478978037877E-002 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2921536689731861E+001 8.4988121862410471E-001 3.4241189445314980E+001 3.4165169172803718E-005 1.5703283520618968E+007 9.6240336470478178E+002 9.0995801486560777E+006 -2.2503634163119251E+001 -8.1901287981244067E+001 -9.8999999999999986E+001 -2.2503634163119251E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3147641199622495E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000
